allocator,ds,smr,value
jemalloc,abtree,2geibr,10.16
jemalloc,abtree,2geibr_df,3.08
jemalloc,abtree,debra,24.98
jemalloc,abtree,debra_df,4.380000000000001
jemalloc,abtree,he,0.32
jemalloc,abtree,he_df,0.49999999999999994
jemalloc,abtree,hp,0.53
jemalloc,abtree,hp_df,0.74
jemalloc,abtree,rcu,12.02
jemalloc,abtree,rcu_df,3.1999999999999997
jemalloc,abtree,nbr,50.440000000000005
jemalloc,abtree,nbr_df,52.31
jemalloc,abtree,nbrplus,11.44
jemalloc,abtree,nbrplus_df,4.09
jemalloc,abtree,qsbr,11.52
jemalloc,abtree,qsbr_df,3.24
jemalloc,abtree,wfe,3.09
jemalloc,abtree,wfe_df,1.99
jemalloc,bst-tk,2geibr,6.470000000000001
jemalloc,bst-tk,2geibr_df,2.38
jemalloc,bst-tk,debra,22.11
jemalloc,bst-tk,debra_df,3.6799999999999997
jemalloc,bst-tk,he,0.35000000000000003
jemalloc,bst-tk,he_df,0.46
jemalloc,bst-tk,hp,0.44
jemalloc,bst-tk,hp_df,0.49999999999999994
jemalloc,bst-tk,rcu,11.32
jemalloc,bst-tk,rcu_df,3.64
jemalloc,bst-tk,nbr,52.38
jemalloc,bst-tk,nbr_df,54.12
jemalloc,bst-tk,nbrplus,10.49
jemalloc,bst-tk,nbrplus_df,4.7
jemalloc,bst-tk,qsbr,11.16
jemalloc,bst-tk,qsbr_df,3.8
jemalloc,bst-tk,wfe,2.4600000000000004
jemalloc,bst-tk,wfe_df,1.23
jemalloc,hmhash,2geibr,4.529999999999999
jemalloc,hmhash,2geibr_df,2.95
jemalloc,hmhash,debra,15.8
jemalloc,hmhash,debra_df,4.47
jemalloc,hmhash,he,0.26
jemalloc,hmhash,he_df,0.25
jemalloc,hmhash,hp,0.37999999999999995
jemalloc,hmhash,hp_df,0.32
jemalloc,hmhash,rcu,6.5600000000000005
jemalloc,hmhash,rcu_df,3.0200000000000005
